alias,tech,experiment,run
mada_1-13,illumina,ERX8573712,ERR9030302
R23887,nanopore,ERX8573895,ERR9030485
18_0622291,nanopore,ERX8573695,ERR9030285
R28012,illumina,ERX8573892,ERR9030482
mada_130,illumina,ERX8573672,ERR9030262
mada_1-47,nanopore,ERX8573886,ERR9030476
mada_1-1,nanopore,ERX8573738,ERR9030328
mada_1-51,illumina,ERX8573873,ERR9030463
mada_1-7,nanopore,ERX8573771,ERR9030361
mada_1-50,illumina,ERX8573763,ERR9030353
mada_1-48,illumina,ERX8573723,ERR9030313
mada_133,nanopore,ERX8573776,ERR9030366
mada_110,nanopore,ERX8573696,ERR9030286
R24100,nanopore,ERX8573878,ERR9030468
R27657,illumina,ERX8573685,ERR9030275
17_616026,nanopore,ERX8573706,ERR9030296
18_0621851,nanopore,ERX8573733,ERR9030323
mada_2-50,nanopore,ERX8573924,ERR9030514
mada_1-50,nanopore,ERX8573828,ERR9030418
