sample,site,matched,pacbio,excluded,failed_qc,run,barcode,barcode_kit,collection_date,lineage,illumina_run_accession,nanopore_run_accession,pacbio_run_accession,sample_accession,biosample_accession,assembly_accession
R30420,south_africa,1,0,0,0,FAK49586,2,EXP-NBD103,5/8/2015,2.2.1,ERR5987210,ERR9030287,,ERS10792301,SAMEA13188764,
R21839,south_africa,1,0,0,0,FAK46428,8,EXP-NBD103,26/7/2013,4.1.1.3,ERR6052043;ERR6052053,ERR9030533,,ERS10792302,SAMEA13188765,
R28182,south_africa,1,0,0,0,FAK49586,12,EXP-NBD103,20/4/2015,2.2.1,ERR9030264,ERR9030284,,ERS10792303,SAMEA13188766,
R20896,south_africa,1,0,0,0,FAK46428,9,EXP-NBD103,15/4/2013,4.1.1.3,ERR6362259;ERR6362771,ERR9030378,,ERS10792304,SAMEA13188767,
R23887,south_africa,1,0,0,0,FAK48888,6,EXP-NBD103,11/3/2014,1.2.2,SRR12882609,ERR9030485,,ERS10792305,SAMEA13188768,
R37765,south_africa,1,0,0,0,FAK46428,1,EXP-NBD103,2/8/2017,2.2.7,ERR9030318,ERR9030454,,ERS10792306,SAMEA13188769,
R30215,south_africa,1,0,0,0,FAK46428,5,EXP-NBD103,23/9/2015,2.2,ERR5987345,ERR9030506,,ERS10792307,SAMEA13188770,
R21893,south_africa,1,0,0,0,FAK48856,11,EXP-NBD103,25/7/2013,2.2.1,ERR6362661;ERR6362780,ERR9030424,,ERS10792308,SAMEA13188771,
R27725,south_africa,1,0,0,0,FAK46428,6,EXP-NBD103,19/3/2015,2.2.1,ERR9030459,ERR9030509,,ERS10792309,SAMEA13188772,
R21408,south_africa,1,0,0,0,FAK48818,24,EXP-NBD114,10/6/2013,2.2.1,ERR5987267,ERR9030440,,ERS10792310,SAMEA13188773,
R28012,south_africa,1,0,0,0,FAK48914,1,EXP-NBD103,9/4/2015,2.2,ERR9030482,ERR9030498,,ERS10792311,SAMEA13188774,
R28703,south_africa,1,0,0,0,FAK46428,7,EXP-NBD103,27/5/2015,2.2,ERR5987386;ERR5987444,ERR9030343,,ERS10792312,SAMEA13188775,
R21770,south_africa,1,0,0,0,FAK49586,5,EXP-NBD103,19/7/2013,4.1.1.3,ERR6052025;ERR6052096,ERR9030350,,ERS10792313,SAMEA13188776,
R20260,south_africa,1,0,0,0,FAK48856,12,EXP-NBD103,16/1/2013,2.2.1,ERR9030270,ERR9030283,,ERS10792314,SAMEA13188777,
R25048,south_africa,1,0,0,0,FAK46428,3,EXP-NBD103,27/6/2014,2.2,ERR9030407,ERR9030431,,ERS10792315,SAMEA13188778,
R23146,south_africa,1,0,0,0,FAK48888,3,EXP-NBD103,13/11/2013,2.2.1,ERR9030461,ERR9030462,,ERS10792316,SAMEA13188779,
R32929,south_africa,1,0,0,0,FAK46428,2,EXP-NBD103,18/4/2016,2.2.1,ERR9030331,ERR9030253,,ERS10792317,SAMEA13188780,
R23571,south_africa,1,0,0,0,FAK48914,5,EXP-NBD103,23/1/2014,4.1,ERR6362166;ERR6362167,ERR9030465,,ERS10792318,SAMEA13188781,
R20574,south_africa,1,0,0,0,FAK48913,14,EXP-NBD114,20/2/2013,2.2.1,ERR5987402,ERR9030530,,ERS10792319,SAMEA13188782,
R28980,south_africa,1,0,0,0,FAK48913,17,EXP-NBD114,22/6/2015,2.2.1,ERR6361974;ERR6362131,ERR9030277,,ERS10792320,SAMEA13188783,
R24120,south_africa,1,0,0,0,FAK48856,6,EXP-NBD103,1/4/2014,2.2,ERR5987430,ERR9030248,,ERS10792321,SAMEA13188784,
